fold_0,fold_1,fold_2,fold_3,fold_4,fold_5,fold_6,fold_7,fold_8,fold_9
1.5935026407241821,1.6112678050994873,1.6280895471572876,1.6168193817138672,1.6737312078475952,1.6029034852981567,1.581050992012024,1.6399116516113281,1.6096251010894775,1.61441171169281
1.4537853002548218,1.550538420677185,1.5588455200195312,1.5492358207702637,1.576103687286377,1.486349105834961,30.77442741394043,1.544027328491211,1.5475350618362427,1.5627140998840332
16.59726333618164,1.3703842163085938,1.4627845287322998,1.4995115995407104,1.4538825750350952,2.7736892700195312,1.4801828861236572,1.7196871042251587,1.3598980903625488,1.4502757787704468
1.472618579864502,1.3986295461654663,1.3478487730026245,1.7561132907867432,1.5603461265563965,1.475037932395935,1.4907563924789429,1.466193437576294,1.418695330619812,1.391183853149414
1.5228101015090942,1.3678966760635376,3.453730821609497,1.4231855869293213,1.8804709911346436,1.5655995607376099,1.5084004402160645,1.4191594123840332,1.412788987159729,1.3306267261505127
1.4471588134765625,1.3601398468017578,1.331884503364563,1.4265389442443848,1.375095009803772,1.4909368753433228,6.011723041534424,1.3814440965652466,1.3503378629684448,1.3224438428878784
1.4890772104263306,1.3017016649246216,1.3595073223114014,1.443461537361145,1.3860373497009277,1.4963817596435547,1.4985202550888062,1.44001042842865,1.317085862159729,1.3302891254425049
1.4753124713897705,1.3377346992492676,1.3968901634216309,1.4758827686309814,1.4135679006576538,1.5157729387283325,1.5491244792938232,1.4773625135421753,1.364559292793274,1.2934294939041138
1.4357268810272217,1.3520690202713013,1.412438154220581,1.4488359689712524,1.362330675125122,1.478303074836731,1.4135268926620483,1.5599193572998047,1.3599318265914917,1.2906136512756348
1.393600583076477,1.2581804990768433,1.360207200050354,1.4121251106262207,1.3701913356781006,1.4223796129226685,1.4694825410842896,1.4091368913650513,1.3361204862594604,1.307136058807373
1.4532309770584106,1.2773433923721313,1.3800559043884277,1.4809952974319458,1.3693592548370361,1.4221538305282593,1.4412428140640259,2.121734619140625,1.3062820434570312,1.3215229511260986
1.4408260583877563,1.3492063283920288,1.3382759094238281,1.4129260778427124,1.3066067695617676,1.3959487676620483,1.4097894430160522,1.4448585510253906,1.3451029062271118,1.2971210479736328
1.4213956594467163,1.4403693675994873,1.3528674840927124,1.4560714960098267,1.347520112991333,1.3776252269744873,1.3979393243789673,1.4575351476669312,1.2947081327438354,1.3491274118423462
1.391516923904419,1.297558307647705,1.3728623390197754,1.3664897680282593,1.2959721088409424,1.4033141136169434,1.4121907949447632,1.4415829181671143,1.300510048866272,1.2930728197097778
1.3980685472488403,1.3091217279434204,1.3495522737503052,1.4306484460830688,1.456860065460205,1.371998906135559,1.5195187330245972,1.412939190864563,1.314637541770935,1.31350576877594
1.4981906414031982,1.344088077545166,1.420198678970337,1.460321307182312,1.368959665298462,1.437623381614685,2.529771327972412,1.41879403591156,1.2730062007904053,1.2872891426086426
1.4077870845794678,1.3217915296554565,1.3383917808532715,1.3697798252105713,1.315358281135559,1.373171091079712,1.3540585041046143,1.429328441619873,1.2836222648620605,1.2848529815673828
1.3871873617172241,1.2767853736877441,1.313254475593567,1.361773133277893,1.3211498260498047,1.445657730102539,1.3491612672805786,1.4000288248062134,1.2729302644729614,1.286201000213623
1.4742867946624756,1.3149299621582031,1.339355230331421,1.3722285032272339,1.3467159271240234,1.3482657670974731,1.4026570320129395,1.3544262647628784,1.2838845252990723,1.2920196056365967
1.3288261890411377,1.2892067432403564,1.3443773984909058,1.3729737997055054,1.2950454950332642,1.37848961353302,1.3429596424102783,1.4034487009048462,1.2633726596832275,1.2721270322799683
1.4243439435958862,1.30958092212677,1.309730887413025,1.3772565126419067,1.3807415962219238,1.3613791465759277,1.4194693565368652,1.3958780765533447,1.2782365083694458,1.2994539737701416
1.373504400253296,1.3104256391525269,1.302579641342163,1.351030945777893,1.3149139881134033,1.364990472793579,1.3770188093185425,1.3817343711853027,1.3239362239837646,1.3084639310836792
1.4038265943527222,1.2763828039169312,1.3085250854492188,1.355546474456787,1.3142273426055908,1.397080659866333,1.357116460800171,1.445438265800476,1.3152276277542114,1.298564076423645
1.402101755142212,1.2729030847549438,1.3280375003814697,1.360092282295227,1.29694402217865,1.3503390550613403,1.4220046997070312,1.3568172454833984,1.2672598361968994,1.2937160730361938
1.3588485717773438,1.2776914834976196,1.2936108112335205,1.3670318126678467,1.300502896308899,1.349515438079834,1.37199866771698,1.4280635118484497,1.2981724739074707,1.2868303060531616
1.364736557006836,1.2629753351211548,1.3223686218261719,1.3510324954986572,1.3271064758300781,1.3824254274368286,1.361348271369934,1.3823139667510986,1.2854771614074707,1.2750908136367798
1.3309094905853271,1.2775530815124512,1.344419240951538,1.3303643465042114,1.3551026582717896,1.3465368747711182,1.3813494443893433,1.4312509298324585,1.2744632959365845,1.3030160665512085
1.3929988145828247,1.2797468900680542,1.375423789024353,1.338992714881897,1.3329519033432007,1.3296658992767334,1.3597840070724487,1.3574327230453491,1.3238086700439453,1.311352252960205
1.3924102783203125,1.2519259452819824,1.3440126180648804,1.3378962278366089,1.3288357257843018,1.3518058061599731,1.3275214433670044,1.3539577722549438,1.2800935506820679,1.317107915878296
1.3475514650344849,1.2847367525100708,1.339690089225769,1.3368499279022217,1.306974172592163,1.3507006168365479,1.3283324241638184,1.3731046915054321,1.2827999591827393,1.2847820520401
1.4028103351593018,1.2537097930908203,1.3218907117843628,1.3617055416107178,1.2945913076400757,1.3702070713043213,1.3485580682754517,1.3673502206802368,1.2881139516830444,1.289148211479187
1.3570787906646729,1.2790173292160034,1.3299775123596191,1.3304764032363892,1.3154557943344116,1.3748486042022705,1.3555198907852173,1.3671561479568481,1.3058885335922241,1.2764875888824463
1.3543665409088135,1.2794214487075806,1.3165165185928345,1.3729205131530762,1.330183506011963,1.3849846124649048,1.3248398303985596,1.389569640159607,1.2840720415115356,1.2762457132339478
1.3533164262771606,1.3130823373794556,1.3001383543014526,1.3451755046844482,1.3147536516189575,1.3533310890197754,1.345395565032959,1.4012576341629028,1.2814795970916748,1.274085283279419
1.380201816558838,1.296339750289917,1.291091799736023,1.3627249002456665,1.3409570455551147,1.325604796409607,1.346303939819336,1.385133147239685,1.2659779787063599,1.3203901052474976
1.3189733028411865,1.2868144512176514,1.3153716325759888,1.3612109422683716,1.3315244913101196,1.3936721086502075,1.3337194919586182,1.3575161695480347,1.246444821357727,1.3134174346923828
1.3481228351593018,1.2818489074707031,1.303109049797058,1.3388667106628418,1.328304409980774,1.351102352142334,1.3062019348144531,1.3765414953231812,1.271465539932251,1.280895471572876
1.3327242136001587,1.2520582675933838,1.312282681465149,1.3344868421554565,1.3387081623077393,1.3716078996658325,1.356205701828003,1.3932201862335205,1.2737723588943481,1.2921808958053589
1.3965306282043457,1.2663614749908447,1.3105825185775757,1.3418341875076294,1.3153196573257446,1.3820984363555908,1.3355920314788818,1.3810054063796997,1.321593999862671,1.2615927457809448
1.383731722831726,1.2667300701141357,1.3271256685256958,1.3275482654571533,1.333282232284546,1.3274673223495483,1.3072258234024048,1.3752827644348145,1.288573980331421,1.2784534692764282
1.3514610528945923,1.3145331144332886,1.3144551515579224,1.3266643285751343,1.293558120727539,1.3351140022277832,1.3163621425628662,1.355499267578125,1.274290680885315,1.2898063659667969
1.362882375717163,1.2578246593475342,1.2907699346542358,1.3618184328079224,1.3002914190292358,1.3470689058303833,1.3568936586380005,1.3781193494796753,1.3125805854797363,1.2919542789459229
1.3987352848052979,1.2933686971664429,1.3370716571807861,1.3315497636795044,1.298492670059204,1.3822122812271118,1.3262040615081787,1.3661104440689087,1.2820414304733276,1.289798378944397
