main_nc_folds.py --dataset Chameleon --num_layers 4 --lr 0.01 --epoch 1000 --num_splits 10 --seed 12345
split: 0 test_acc: tensor(0.5110, device='cuda:3') 
split: 1 test_acc: tensor(0.5351, device='cuda:3') 
split: 2 test_acc: tensor(0.4803, device='cuda:3') 
split: 3 test_acc: tensor(0.5263, device='cuda:3') 
split: 4 test_acc: tensor(0.5022, device='cuda:3') 
split: 5 test_acc: tensor(0.5044, device='cuda:3') 
split: 6 test_acc: tensor(0.5395, device='cuda:3') 
split: 7 test_acc: tensor(0.4627, device='cuda:3') 
split: 8 test_acc: tensor(0.5417, device='cuda:3') 
split: 9 test_acc: tensor(0.5132, device='cuda:3') 
test_acc_list: [array(0.51096493, dtype=float32), array(0.5350877, dtype=float32), array(0.48026317, dtype=float32), array(0.5263158, dtype=float32), array(0.502193, dtype=float32), array(0.50438595, dtype=float32), array(0.5394737, dtype=float32), array(0.4627193, dtype=float32), array(0.5416667, dtype=float32), array(0.5131579, dtype=float32)] 
mean: 0.5116228 
std: 0.02442101 
{
    "lr": 0.01,
    "dropout": 0.2,
    "dropoutgeo": 0.2,
    "cuda": 3,
    "device": "cuda:3",
    "epoch": 1000,
    "decay": 0.0001,
    "optimizer": "adam",
    "momentum": 0.999,
    "patience": 200,
    "seed": 12345,
    "save": 0,
    "save_dir": "./experiment3",
    "sweep_c": 0,
    "print_epoch": true,
    "runtime": 1,
    "task": "nc",
    "model": "GeoGCN",
    "hidden": 64,
    "num_layers": 4,
    "act": "relu",
    "n_heads": 4,
    "alpha": 0.2,
    "use_att": 0,
    "odemap": "h1extend",
    "logmethods": "ode",
    "kdim": 8,
    "agg": "GCN",
    "odemethod": "euler",
    "step_size": 1.0,
    "vt": "clone",
    "sign": 1,
    "rank": 1,
    "dataset": "Chameleon",
    "split_seed": 12345,
    "random_split": false,
    "val_prop": 0.05,
    "test_prop": 0.1,
    "use_feats": 1,
    "normalize_feats": 1,
    "normalize_adj": 1,
    "num_splits": 10,
    "split_id": 9,
    "n_nodes": 2277,
    "feat_dim": 2325,
    "n_classes": 5
}
