main_nc_folds.py --dataset Chameleon --num_layers 8 --lr 0.005 --epoch 1000 --num_splits 10 --seed 12345
split: 0 test_acc: tensor(0.3684, device='cuda:3') 
split: 1 test_acc: tensor(0.3706, device='cuda:3') 
split: 2 test_acc: tensor(0.3421, device='cuda:3') 
split: 3 test_acc: tensor(0.3750, device='cuda:3') 
split: 4 test_acc: tensor(0.3684, device='cuda:3') 
split: 5 test_acc: tensor(0.3531, device='cuda:3') 
split: 6 test_acc: tensor(0.3728, device='cuda:3') 
split: 7 test_acc: tensor(0.3465, device='cuda:3') 
split: 8 test_acc: tensor(0.3465, device='cuda:3') 
split: 9 test_acc: tensor(0.3465, device='cuda:3') 
test_acc_list: [array(0.36842105, dtype=float32), array(0.37061405, dtype=float32), array(0.34210527, dtype=float32), array(0.375, dtype=float32), array(0.36842105, dtype=float32), array(0.35307017, dtype=float32), array(0.37280703, dtype=float32), array(0.34649122, dtype=float32), array(0.34649122, dtype=float32), array(0.34649122, dtype=float32)] 
mean: 0.35899124 
std: 0.012446025 
{
    "lr": 0.005,
    "dropout": 0.2,
    "dropoutgeo": 0.2,
    "cuda": 3,
    "device": "cuda:3",
    "epoch": 1000,
    "decay": 0.0001,
    "optimizer": "adam",
    "momentum": 0.999,
    "patience": 200,
    "seed": 12345,
    "save": 0,
    "save_dir": "./experiment3",
    "sweep_c": 0,
    "print_epoch": true,
    "runtime": 1,
    "task": "nc",
    "model": "GeoGCN",
    "hidden": 64,
    "num_layers": 8,
    "act": "relu",
    "n_heads": 4,
    "alpha": 0.2,
    "use_att": 0,
    "odemap": "h1extend",
    "logmethods": "ode",
    "kdim": 8,
    "agg": "GCN",
    "odemethod": "euler",
    "step_size": 1.0,
    "vt": "clone",
    "sign": 1,
    "rank": 1,
    "dataset": "Chameleon",
    "split_seed": 12345,
    "random_split": false,
    "val_prop": 0.05,
    "test_prop": 0.1,
    "use_feats": 1,
    "normalize_feats": 1,
    "normalize_adj": 1,
    "num_splits": 10,
    "split_id": 9,
    "n_nodes": 2277,
    "feat_dim": 2325,
    "n_classes": 5
}
