main_nc_folds.py --dataset Wisconsin --num_layers 16 --lr 0.01 --epoch 1000 --num_splits 10 --seed 12345
split: 0 test_acc: tensor(0.4314, device='cuda:3') 
split: 1 test_acc: tensor(0.5490, device='cuda:3') 
split: 2 test_acc: tensor(0.3725, device='cuda:3') 
split: 3 test_acc: tensor(0.4706, device='cuda:3') 
split: 4 test_acc: tensor(0.4118, device='cuda:3') 
split: 5 test_acc: tensor(0.5882, device='cuda:3') 
split: 6 test_acc: tensor(0.4510, device='cuda:3') 
split: 7 test_acc: tensor(0.5490, device='cuda:3') 
split: 8 test_acc: tensor(0.4118, device='cuda:3') 
split: 9 test_acc: tensor(0.3725, device='cuda:3') 
test_acc_list: [array(0.43137255, dtype=float32), array(0.54901963, dtype=float32), array(0.37254903, dtype=float32), array(0.47058827, dtype=float32), array(0.4117647, dtype=float32), array(0.5882353, dtype=float32), array(0.4509804, dtype=float32), array(0.54901963, dtype=float32), array(0.4117647, dtype=float32), array(0.37254903, dtype=float32)] 
mean: 0.46078435 
std: 0.072971754 
{
    "lr": 0.01,
    "dropout": 0.2,
    "dropoutgeo": 0.2,
    "cuda": 3,
    "device": "cuda:3",
    "epoch": 1000,
    "decay": 0.0001,
    "optimizer": "adam",
    "momentum": 0.999,
    "patience": 200,
    "seed": 12345,
    "save": 0,
    "save_dir": "./experiment3",
    "sweep_c": 0,
    "print_epoch": true,
    "runtime": 1,
    "task": "nc",
    "model": "GeoGCN",
    "hidden": 64,
    "num_layers": 16,
    "act": "relu",
    "n_heads": 4,
    "alpha": 0.2,
    "use_att": 0,
    "odemap": "h1extend",
    "logmethods": "ode",
    "kdim": 8,
    "agg": "GCN",
    "odemethod": "euler",
    "step_size": 1.0,
    "vt": "clone",
    "sign": 1,
    "rank": 1,
    "dataset": "Wisconsin",
    "split_seed": 12345,
    "random_split": false,
    "val_prop": 0.05,
    "test_prop": 0.1,
    "use_feats": 1,
    "normalize_feats": 1,
    "normalize_adj": 1,
    "num_splits": 10,
    "split_id": 9,
    "n_nodes": 251,
    "feat_dim": 1703,
    "n_classes": 5
}
