main_nc_folds.py --dataset Cora --num_layers 64 --lr 0.01 --epoch 1000 --num_splits 10 --seed 12345
split: 0 test_acc: tensor(0.2394, device='cuda:3') 
split: 1 test_acc: tensor(0.2736, device='cuda:3') 
split: 2 test_acc: tensor(0.2837, device='cuda:3') 
split: 3 test_acc: tensor(0.2435, device='cuda:3') 
split: 4 test_acc: tensor(0.2414, device='cuda:3') 
split: 5 test_acc: tensor(0.2676, device='cuda:3') 
split: 6 test_acc: tensor(0.2616, device='cuda:3') 
split: 7 test_acc: tensor(0.2897, device='cuda:3') 
split: 8 test_acc: tensor(0.2515, device='cuda:3') 
split: 9 test_acc: tensor(0.2656, device='cuda:3') 
test_acc_list: [array(0.23943661, dtype=float32), array(0.27364185, dtype=float32), array(0.2837022, dtype=float32), array(0.24346076, dtype=float32), array(0.24144869, dtype=float32), array(0.26760563, dtype=float32), array(0.2615694, dtype=float32), array(0.28973842, dtype=float32), array(0.25150904, dtype=float32), array(0.26559356, dtype=float32)] 
mean: 0.2617706 
std: 0.016748613 
{
    "lr": 0.01,
    "dropout": 0.2,
    "dropoutgeo": 0.2,
    "cuda": 3,
    "device": "cuda:3",
    "epoch": 1000,
    "decay": 0.0001,
    "optimizer": "adam",
    "momentum": 0.999,
    "patience": 200,
    "seed": 12345,
    "save": 0,
    "save_dir": "./experiment3",
    "sweep_c": 0,
    "print_epoch": true,
    "runtime": 1,
    "task": "nc",
    "model": "GeoGCN",
    "hidden": 64,
    "num_layers": 64,
    "act": "relu",
    "n_heads": 4,
    "alpha": 0.2,
    "use_att": 0,
    "odemap": "h1extend",
    "logmethods": "ode",
    "kdim": 8,
    "agg": "GCN",
    "odemethod": "euler",
    "step_size": 1.0,
    "vt": "clone",
    "sign": 1,
    "rank": 1,
    "dataset": "Cora",
    "split_seed": 12345,
    "random_split": false,
    "val_prop": 0.05,
    "test_prop": 0.1,
    "use_feats": 1,
    "normalize_feats": 1,
    "normalize_adj": 1,
    "num_splits": 10,
    "split_id": 9,
    "n_nodes": 2708,
    "feat_dim": 1433,
    "n_classes": 7
}
